24, 1014, 0
24, 1014, 1
24, 1014, 2
24, 1014, 3
24, 1014, 4
24, 1014, 5
24, 1014, 6
24, 1014, 7
24, 1014, 8
24, 1014, 9
24, 1014, 10
24, 1014, 11
24, 1014, 12
24, 1014, 13
24, 1014, 14
24, 1014, 15
24, 1014, 16
24, 1014, 17
24, 1014, 18
24, 1014, 19
24, 1014, 20
24, 1014, 21
24, 1014, 22
24, 1014, 23
24, 1014, 24
24, 1014, 25
24, 1014, 26
24, 1014, 27
24, 1014, 28
24, 1014, 29
24, 1014, 30
24, 1014, 31
24, 1014, 32
24, 1014, 33
24, 1014, 34
24, 1014, 35
24, 1014, 36
24, 1014, 37
24, 1014, 38
24, 1014, 39
24, 1014, 40
24, 1014, 41
24, 1014, 42
24, 1014, 43
24, 1014, 44
24, 1014, 45
24, 1014, 46
24, 1014, 47
24, 1014, 48
24, 1014, 49
24, 1014, 50
